id,name,created_at,updated_at,time_zone,default_language,city,street,zip,collective_agreement_id,cheat_sheet_hour_cut,social_tax,paid_breaks,show_real_and_planned_hours_on_planning,preferences,blocked,payroll_software_id,partner_id,country
75219,LABxxx,2024-02-28 14:39:51.683660 UTC,2024-04-03 06:36:50.549717 UTC,Pacific/Noumea,FR,Nouxxx,145xxxxxxxxxxxxxxxxxxxxx,988xx,2,18,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""xpf"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":true,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":true,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""planning_pdf_display_mode"":""true"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,quadra_paie,6905a394-2a55-4b71-ae39-41fefac8901a,NC
70509,La xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,2023-12-12 14:35:27.592552 UTC,2024-03-12 02:43:10.780273 UTC,Europe/Paris,ES,Mijxx,,,2,16,30,true,true,"{""allow_duplication_of_schedule_over_more_weeks"":true,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":15,""planning_pdf_display_mode"":""true"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,default,339590db-fccb-405c-b9ea-f5f06f6784ed,ES
75247,Gruxxxxxxxxxxx,2024-02-28 17:58:32.969744 UTC,2024-04-02 10:12:39.345784 UTC,Europe/Paris,ES,Murxxx,,,2,18,32,true,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":false,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":true,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":true,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":10,""planning_pdf_display_mode"":""true"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":true,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,default,12083d57-5470-4761-b4eb-7a05f324e7d0,ES
35722,Delxxxxxx,2022-09-19 08:45:11.350435 UTC,2024-03-12 07:48:12.530342 UTC,Europe/Paris,FR,Parxx,Garxxxxxxxxxxxxxxxxxxxxxxxxxx,750xx,2,16,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":true,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":false,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":true,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":30,""planning_pdf_display_mode"":""true"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":200,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":true,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,default,5ab253a9-e0d3-498c-96ed-227c13a31278,FR
32776,Pacxxxxxxxxx,2022-07-31 20:58:06.933754 UTC,2024-04-07 02:45:07.330072 UTC,Europe/Paris,FR,,,,2,18,32,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":true,""employee_can_read_coworker_planning"":false,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":true,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":7,""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":true,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,silae,4d6ee014-1413-4c79-b468-297062eb0c5f,FR
3455,Groxxxxxxxxxxxxxxxxxxx,2018-02-21 13:48:30.221816 UTC,2023-12-21 15:55:28.155533 UTC,Europe/Paris,FR,Valxxxx,285xxxxxxxxxxxxxxxxxxxx,260xx,2,15,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":true,""directors_can_access_dashboard_rh"":false,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":true,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":false,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":true,""manager_can_access_to_payroll"":false,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":true,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":null,""planning_pdf_display_mode"":""normal"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":true,""send_activities_report_mail_to_owner"":false,""uses_timeclock"":false}",false,silae,228f584d-b303-4222-8a93-1c23c3e239bd,FR
26520,Insxxxxxxxxxxxxxx,2022-03-23 13:55:55.603010 UTC,2024-03-28 02:43:51.762823 UTC,Europe/Paris,FR,Borxxxxx,35 xxxxxxxxxxxxxxx,333xx,2,15,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":true,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":false}",false,paie_rh,996aef77-3855-472f-b0af-95d2f572ba2a,FR
15686,Socxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,2021-07-12 11:29:45.384971 UTC,2024-03-21 10:02:36.864233 UTC,Europe/Paris,FR,Parxx,"24,xxxxxxxxxxxxxxx",750xx,2,15,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":true,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":false,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":false,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""planning_pdf_display_mode"":""normal"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,default,159b6c93-1a99-459b-b259-64caba952d52,FR
22705,DENxxxxxxxxxxxxxxxxxx,2022-01-10 14:37:37.919942 UTC,2023-09-12 06:54:29.127592 UTC,Europe/Paris,FR,Aubxxxx,41 xxxxxxxxxxxxxxx,072xx,2,13,30,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":true,""automatically_generate_employee_ids"":false,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":false,""display_shifts_from_other_teams"":true,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":false,""hide_weekly_rests_planning_unpublished"":true,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":false,""lock_meals"":false,""manager_can_access_to_payroll"":true,""manager_can_read_all_salaries"":false,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":15,""prevent_overlapping_pay_periods"":true,""productivity_objective"":150,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":true}",false,default,7891843b-f621-4562-93aa-11fc562bf429,FR
12680,LE xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,2021-03-26 07:31:49.161413 UTC,2024-04-01 02:45:18.512176 UTC,Europe/Paris,FR,PARxx,8 rxxxxxxxxxxxxxxxxxxxxxxxx,750xx,2,18,37,false,true,"{""allow_duplication_of_schedule_over_more_weeks"":false,""automatically_generate_employee_ids"":true,""currency_iso_code"":""eur"",""director_can_read_paid_leave_dashboard"":false,""directors_can_access_dashboard_rh"":true,""display_rewards_on_memberpage"":true,""display_shifts_from_other_teams"":true,""display_signature_for_planning_pdf"":true,""display_sunday_for_planning_pdf"":true,""display_week_hours_for_planning_pdf"":false,""employee_can_read_coworker_planning"":true,""employee_can_receive_sms_notification"":false,""enabled_conversation"":true,""hide_counters_alerts_planning_to_daily_worker"":true,""hide_weekly_rests_planning_unpublished"":false,""hr_dashboard_access_granted"":false,""include_over_hours_in_wages"":true,""lock_meals"":true,""manager_can_access_to_payroll"":false,""manager_can_read_all_salaries"":true,""manager_can_read_paid_leave_dashboard"":false,""manager_created_employees_plannable"":true,""minimum_days_for_timeoff_request"":0,""planning_pdf_display_mode"":""true"",""prevent_overlapping_pay_periods"":true,""productivity_objective"":50,""quadra_paie_separator"":"":"",""report_evened_out_by_default"":false,""send_activities_report_mail_to_owner"":true,""uses_timeclock"":false}",false,silae,f99387b4-2fa0-4ddd-a999-8041df87e309,FR
