id,name,account_id,created_at,updated_at,address,preferences,city,zipcode,collective_agreement_id,country,partner_id,archived,default_break_duration,payroll_software_identifier,enable_public_holiday_configuration,public_holiday_overtime_rate,public_holiday_paid_by_default,location_type,minimum_shift_duration_for_automatic_breaks_in_hours
2373,Nacxxxxxxxxxxxx,1952,2017-04-29 12:59:55.878141 UTC,2023-07-18 08:44:21.812714 UTC,Bvdxxxxxxxxxxxxxxxxxxxxx,"{""allow_negative_compensatory_counter"":false,""annualisation_enabled"":false,""annualisation_use_calendar_year"":true,""annualization_enabled"":false,""annualization_use_calendar_year"":true,""default_meal_type"":""AN"",""modulation_enabled"":false,""productivity_objective"":70,""skip_percentage_for_compensatory_deposit"":false,""starting_month_for_annualisation"":1,""starting_month_for_annualization"":1,""uses_timeclock"":true,""wage_ratio_objective"":25,""workable_days_in_week"":6}",ROUxx,760xx,3,FRANCE,c8c8b29e-fdd7-4e15-a96c-4278b10748a7,false,0,,false,100,false,regular,6
4015,Merxxxxxxxxxxxxxxxxxxx,3177,2018-01-03 10:18:59.901891 UTC,2023-07-18 08:44:37.506135 UTC,,"{""allow_negative_compensatory_counter"":false,""annualisation_enabled"":false,""annualisation_use_calendar_year"":true,""annualization_enabled"":false,""annualization_use_calendar_year"":true,""default_meal_type"":""AN"",""productivity_objective"":50,""skip_percentage_for_compensatory_deposit"":false,""starting_month_for_annualisation"":1,""starting_month_for_annualization"":1,""uses_timeclock"":false,""wage_ratio_objective"":35,""workable_days_in_week"":5}",,,3,,b733475b-f714-48aa-8032-f26cb4dc6ade,true,0,,false,100,false,regular,6
81212,MJ xxxxxxxxxx,3177,2023-10-30 15:38:34.050944 UTC,2023-10-30 19:42:23.169152 UTC,,"{""allow_negative_compensatory_counter"":false,""default_meal_type"":""PP"",""productivity_objective"":50,""skip_percentage_for_compensatory_deposit"":false,""uses_timeclock"":false,""wage_ratio_objective"":35}",,,1,,8d3e4b1f-0f52-40ab-8218-39b94cc03ce8,FALSE,0,,false,100,false,regular,6
81211,MJ xxxxxxx,3177,2023-10-30 15:38:12.337556 UTC,2023-10-30 15:46:45.737908 UTC,,"{""allow_negative_compensatory_counter"":false,""default_meal_type"":""PP"",""productivity_objective"":50,""skip_percentage_for_compensatory_deposit"":false,""uses_timeclock"":false,""wage_ratio_objective"":35}",,,1,,fcde689d-c34c-466f-84dc-67ef95b4bae0,False,0,,false,100,false,regular,6
16848,Comxxxxxxxxx,3455,2021-03-29 12:17:31.689329 UTC,2023-07-18 08:46:45.939393 UTC,75 xxxxxxxxxxxxxxxxxxxx,"{""allow_negative_compensatory_counter"":false,""default_meal_type"":""AN"",""productivity_objective"":50,""skip_percentage_for_compensatory_deposit"":false,""uses_timeclock"":false,""wage_ratio_objective"":35,""workable_days_in_week"":5}",VALxxxx,260xx,2,France,74b860b3-c4c4-48ec-bb98-819f2e0f8fcb,False,0,,true,100,false,regular,6
7834,Arkxxxxxxxxx,6027,2019-04-11 15:10:22.662559 UTC,2023-07-18 08:45:15.248490 UTC,181xxxxxxxxxxxxxxxxxxxxxxx,"{""allow_negative_compensatory_counter"":false,""default_meal_type"":""AN"",""productivity_objective"":50,""skip_percentage_for_compensatory_deposit"":false,""uses_timeclock"":false,""wage_ratio_objective"":35,""workable_days_in_week"":6}",Rouxx,761xx,5,France,615894aa-29c7-431d-b988-02d433498ecc,False,0,,false,100,false,regular,6
9031,Coqxxxxxx,6908,2019-08-19 10:12:18.797152 UTC,2023-08-08 19:38:33.543951 UTC,100xxxxxxxxxxxxxxxxxxxx,"{""allow_negative_compensatory_counter"":false,""default_meal_type"":""IR"",""productivity_objective"":50,""skip_percentage_for_compensatory_deposit"":false,""uses_timeclock"":true,""wage_ratio_objective"":28,""workable_days_in_week"":6}",Coqxxxxxxx,622xx,32,France,49d3932e-63b1-4ff2-a19d-a75c66ab6f32,false,0,,false,100,false,regular,6
9320,Thaxxxxxxxxxxxxxxxxxxxxx,7134,2019-09-19 14:20:56.214999 UTC,2023-07-18 08:45:30.062206 UTC,44 xxxxxxxxxxxxxx,"{""allow_negative_compensatory_counter"":false,""default_meal_type"":""IR"",""productivity_objective"":50,""skip_percentage_for_compensatory_deposit"":false,""uses_timeclock"":true,""wage_ratio_objective"":35,""workable_days_in_week"":6}",Parxx,750xx,3,France,403d4d13-c8e9-4044-8e75-8f2ee491df9e,no,0,,false,100,false,regular,6
11369,MANxxxxxx,8763,2020-03-04 14:15:05.124974 UTC,2023-07-18 08:45:49.560631 UTC,10 xxxxxxxxxxxxxxxxxxx,"{""allow_negative_compensatory_counter"":false,""default_meal_type"":""AN"",""productivity_objective"":50,""skip_percentage_for_compensatory_deposit"":false,""uses_timeclock"":false,""wage_ratio_objective"":35,""workable_days_in_week"":5}",Venxxxxx,137xx,2,France,b2a5446b-d8a0-4007-9a31-1999aba4d160,false,0,,false,100,false,holding,6
11368,MANx,8763,2020-03-04 14:10:28.543366 UTC,2022-08-24 15:14:23.973487 UTC,12 xxxxxxxxxxxxxxxxxxx,"{""allow_negative_compensatory_counter"":false,""default_meal_type"":""AN"",""productivity_objective"":50,""skip_percentage_for_compensatory_deposit"":false,""uses_timeclock"":false,""wage_ratio_objective"":35,""workable_days_in_week"":5}",Aixxxxxxxxxxxxx,131xx,32,France,a78d414c-1ded-41f6-9cc6-dad5efe59101,no,30,,false,100,false,regular,0
