id,created_at,updated_at,location_id,contract_end,contract_time,contract_start,contract_end_trial,contract_type,lastname,firstname,street_address,do_not_show_in_register,contract_end_reason,team_id,invitation_sent_at,invitation_accepted_at,membership_id,daily_worker,working_days_in_week,partner_id,birth_department_code,start_time,account_id,original_contract_id,type,virtual
1043383,2024-04-02 09:40:15.833611 UTC,2024-04-05 10:45:28.526869 UTC,89234,,40.0,2024-03-12,,seasonal,,,,false,,114944,,,761051,false,5,1f1fb02b-c713-4db5-967b-31bfa261d0dc,,2024-04-02 06:00:00.000000 UTC,75247,,UserContract,no
1043397,2024-04-02 09:44:47.024555 UTC,2024-04-08 11:53:28.405489 UTC,89234,, 39.99 ,2024-04-02,,seasonal,,,,false,,114944,2024-04-08 11:53:03.234727 UTC,,761059,0,5,34e2a45c-0e4e-46bd-b938-e188c3c85d3b,,2024-04-08 06:00:00.000000 UTC,75247,,UserContract,no
1014909,2024-03-01 18:35:02.454274 UTC,2024-04-07 13:00:16.029025 UTC,89234,,40.0,2023-08-02,,CDI,,,,false,,114944,2024-03-05 16:13:22.175575 UTC,2024-03-05 16:22:37.857112 UTC,742069,no,5,8f479968-c76c-4485-bcf3-a739f647f17c,,2024-04-02 06:00:00.000000 UTC,75247,,UserContract,0
996526,2024-02-14 14:50:04.817972 UTC,2024-03-31 09:55:18.697567 UTC,88159,,35.0,2023-10-02,,apprentissage,,,,false,,110593,2024-03-03 10:20:47.127466 UTC,2024-03-05 07:08:14.873432 UTC,727851,False,5,1a1924cd-6594-464c-a096-5f29fa52a379,,,73406,,UserContract,FALSE
996521,2024-02-14 14:48:24.280657 UTC,2024-03-27 14:58:05.538728 UTC,88159,,35.0,2023-10-02,,apprentissage,,,,false,,110593,2024-02-27 14:50:47.985204 UTC,2024-02-27 20:53:53.660686 UTC,727847,FALSE,5,5aae00e6-9ff8-4b99-b6f4-e216765cfe65,,,73406,,UserContract,0
996508,2024-02-14 14:47:12.142196 UTC,2024-03-31 08:40:02.134938 UTC,88159,,35.0,2023-11-27,,apprentissage,,,,false,,110593,2024-03-24 17:23:32.181380 UTC,,727832,False,5,9bf5d9d0-ebef-4bf1-a732-0b5836c5a98d,,,73406,,UserContract,False
1028131,2024-03-17 10:21:37.130904 UTC,2024-04-02 10:23:26.819319 UTC,91401,,4h,2024-03-17,,seasonal,,,,false,,114945,2024-04-02 10:10:23.788356 UTC,2024-04-02 10:12:40.028797 UTC,751358,no,1,dfa846e5-c7d1-4ca7-8972-36a2c7fe347a,,2024-04-02 06:00:00.000000 UTC,75247,,UserContract,False
996707,2024-02-14 14:56:34.440194 UTC,2024-03-27 16:10:20.544421 UTC,88160,,7h,2023-09-24,,CDD,,,,false,,110594,,,728032,false,5,fff6dced-e75f-4479-af92-219c48988ce7,,,73406,,UserContract,False
996708,2024-02-14 14:56:34.709785 UTC,2024-04-03 11:32:14.010770 UTC,88160,,13h,2023-09-25,,CDI,,,,false,,110594,2024-02-27 14:22:47.321445 UTC,2024-02-27 18:18:44.906520 UTC,728033,FALSE,5,ac99f07d-80e6-4af4-a98b-ff347bf12d07,,2024-02-14 07:00:00.000000 UTC,73406,,UserContract,false
1031365,2024-03-20 13:57:33.186831 UTC,2024-04-06 15:26:42.177760 UTC,67403,,39.0,2024-03-25,2024-06-25,CDI,,,,false,,84483,2024-03-25 09:44:00.963118 UTC,2024-03-25 10:12:29.601810 UTC,753574,0,5,1f8ffc1f-7c50-441c-980a-951f1d041cd5,,2024-03-22 10:00:00.000000 UTC,55877,,UserContract,False
918810,2023-11-12 19:09:54.618573 UTC,2024-04-06 15:25:16.003726 UTC,67403,,39.0,2023-10-09,,CDI,PALxxxx,Stéxxxxx,2 Rxxxxxxxxxxxxxx,false,,84483,2024-01-03 16:42:37.803712 UTC,2024-01-03 18:10:07.202259 UTC,675936,no,5,ddd5c0f2-7d9d-4bdf-9883-0e74e01a9fc8,21,2023-10-09 06:00:00.000000 UTC,55877,,UserContract,no
869196,2023-09-21 08:41:25.130161 UTC,2024-03-25 10:59:32.738890 UTC,16736,,,2023-09-05,,,WOExxxxx,Marxxxxxxx,,false,,22019,,,643726,1,5,1bfb759b-fe06-4ac5-97d4-cd5d522341e5,,2023-09-05 06:00:00.000000 UTC,12680,,UserContract,0
954415,2023-12-26 10:22:05.850167 UTC,2024-03-25 10:59:32.738890 UTC,16736,,,2023-12-26,,,LACxxxx,Bilxx,,false,,22019,,,699612,false,5,f3290410-f6fc-4b4a-abe3-332d482f52f0,,2023-12-26 07:00:00.000000 UTC,12680,,UserContract,0
