id,user_contract_id,timeoff_id,original_shift_id,rest_type,starts_at,ends_at,created_at,updated_at,partner_id,custom_value,account_id
13238263,518850,,,formation,2024-04-29 07:00:00 UTC,2024-04-29 11:00:00 UTC,2022-09-09 12:11:26.236971 UTC,2022-09-09 12:11:26.236971 UTC,4e853e30-4e2a-444a-a652-eab513c0bd2a,[],11365
13238267,518850,,,formation,2024-04-29 12:00:00 UTC,2024-04-29 15:00:00 UTC,2022-09-09 12:11:37.510659 UTC,2022-09-09 12:11:37.510659 UTC,f2dbde74-89b6-45c3-b5e4-5b35ebfda892,[],11365
13238268,518850,,,formation,2024-04-30 07:00:00 UTC,2024-04-30 11:00:00 UTC,2022-09-09 12:11:39.332176 UTC,2022-09-09 12:11:39.332176 UTC,c3522fd6-ff40-4952-aa02-e4d3952b83f3,[],11365
13238270,518850,,,formation,2024-04-30 12:00:00 UTC,2024-04-30 15:00:00 UTC,2022-09-09 12:11:40.879803 UTC,2022-09-09 12:11:40.879803 UTC,83a073aa-dfa1-44c3-95ce-1d17c83c11cb,[],11365
13238272,518850,,,formation,2024-05-02 07:00:00 UTC,2024-05-02 11:00:00 UTC,2022-09-09 12:11:43.001498 UTC,2022-09-09 12:11:43.001498 UTC,0d49b394-fa7b-419f-9558-fa2f05d5ade2,[],11365
13238273,518850,,,formation,2024-05-02 12:00:00 UTC,2024-05-02 15:00:00 UTC,2022-09-09 12:11:44.591498 UTC,2022-09-09 12:11:44.591498 UTC,3bca7807-be45-4679-b142-217b723a5e2c,[],11365
13238275,518850,,,formation,2024-05-03 07:00:00 UTC,2024-05-03 11:00:00 UTC,2022-09-09 12:11:46.17889 UTC,2022-09-09 12:11:46.17889 UTC,375adaf3-9cf2-4970-9eee-968c32d45c8f,[],11365
13238277,518850,,,formation,2024-05-03 12:00:00 UTC,2024-05-03 15:00:00 UTC,2022-09-09 12:11:48.424604 UTC,2022-09-09 12:11:48.424604 UTC,f882db13-2b94-40f1-8988-e4a37cc5c437,[],11365
15066600,542190,,,formation,2024-05-02 07:00:00 UTC,2024-05-02 14:00:00 UTC,2022-11-22 14:13:04.467126 UTC,2022-11-22 14:13:04.467126 UTC,15e9adfb-62bb-480f-81f0-5e95d51db343,[],11365
15066602,542190,,,formation,2024-05-03 07:00:00 UTC,2024-05-03 14:00:00 UTC,2022-11-22 14:13:06.845214 UTC,2022-11-22 14:13:06.845214 UTC,fefdcb7e-2f27-4b88-8878-94c244720154,[],11365
15422283,600546,,,weekly_rest,2023-04-28 22:00:00 UTC,2023-04-30 22:00:00 UTC,2022-12-06 15:09:18.953002 UTC,2022-12-06 15:09:18.953002 UTC,3bf3f24c-c575-4b29-8107-46853d5af913,[],3455
15422335,600546,,,weekly_rest,2023-05-05 22:00:00 UTC,2023-05-07 22:00:00 UTC,2022-12-06 15:10:18.878101 UTC,2022-12-06 15:10:18.878101 UTC,ef90f33c-41a0-4c61-9b57-1d5d0e46d855,[],3455
15422461,600546,,,weekly_rest,2023-05-12 22:00:00 UTC,2023-05-14 22:00:00 UTC,2022-12-06 15:11:50.81703 UTC,2022-12-06 15:11:50.81703 UTC,df61fdec-a014-4304-9c11-9c7d0f3812e4,[],3455
15422536,600546,,,weekly_rest,2023-05-19 22:00:00 UTC,2023-05-21 22:00:00 UTC,2022-12-06 15:13:17.134741 UTC,2022-12-06 15:13:17.134741 UTC,9dd1fa42-76ef-4149-835b-959804298f11,[],3455
15422583,600546,,,weekly_rest,2023-05-26 22:00:00 UTC,2023-05-28 22:00:00 UTC,2022-12-06 15:14:12.826353 UTC,2022-12-06 15:14:12.826353 UTC,a2bf751d-20a5-4460-a4fa-6291700d2b76,[],3455
15422635,600546,,,weekly_rest,2023-06-02 22:00:00 UTC,2023-06-04 22:00:00 UTC,2022-12-06 15:15:07.099992 UTC,2022-12-06 15:15:07.099992 UTC,1f4cda0a-41a9-4750-b939-4242f7686d61,[],3455
17430820,634412,,,weekly_rest,2023-04-11 22:00:00 UTC,2023-04-12 22:00:00 UTC,2023-02-26 16:42:21.2664 UTC,2023-02-26 16:42:21.2664 UTC,dd818034-e0f4-4022-a95d-2c7b63d5d843,[],41660
17430830,634412,,,weekly_rest,2023-04-18 22:00:00 UTC,2023-04-19 22:00:00 UTC,2023-02-26 16:42:21.2664 UTC,2023-02-26 16:42:21.2664 UTC,c552450e-a50a-49c1-bf75-45d2de634c6d,[],41660
17430831,634412,,,weekly_rest,2023-04-21 22:00:00 UTC,2023-04-22 22:00:00 UTC,2023-02-26 16:42:21.2664 UTC,2023-02-26 16:42:21.2664 UTC,92ed7bfe-fb74-495a-a543-e6b131e14ec9,[],41660
17697978,151539,,,weekly_rest,2023-05-14 22:00:00 UTC,2023-05-15 22:00:00 UTC,2023-03-08 12:30:04.798002 UTC,2023-03-08 12:30:04.798002 UTC,3506fc28-0f02-4d24-b103-11ab106c2817,[],3455
17733196,493068,,,weekly_rest,2023-04-08 22:00:00 UTC,2023-04-09 22:00:00 UTC,2023-03-09 15:00:30.740672 UTC,2023-03-09 15:00:30.740672 UTC,475f423e-96bc-4677-bf41-ea63b9ef2a33,[],32776
17753679,539597,,,weekly_rest,2023-05-08 22:00:00 UTC,2023-05-09 22:00:00 UTC,2023-03-10 11:54:02.456932 UTC,2023-03-10 11:54:02.456932 UTC,45c91f68-118d-4572-b72a-c2b6744b767d,[],3455
17753963,99001,,,compensatory_rest,2023-05-12 06:00:00 UTC,2023-05-12 14:00:00 UTC,2023-03-10 12:05:42.603588 UTC,2023-03-10 12:05:42.603588 UTC,bb702b0c-78a0-4a52-bd15-7bb43d7df054,[],3455
17763305,338750,,,weekly_rest,2023-05-01 22:00:00 UTC,2023-05-03 22:00:00 UTC,2023-03-10 15:16:00.085456 UTC,2023-03-10 15:16:00.085456 UTC,ea21cde6-0acb-4e2c-95bb-077a9d3ede70,[],12680
17763317,338720,,,weekly_rest,2023-05-03 22:00:00 UTC,2023-05-05 22:00:00 UTC,2023-03-10 15:16:23.710902 UTC,2023-03-10 15:16:23.710902 UTC,b7fe54f4-4798-4cd2-b88f-dcb8ba4125ea,[],12680
